2022-06-18 11:25:22.629 [main] INFO  com.lckp.jproxy.Application - The following profiles are active: prod,format,format-custom
2022-06-18 11:25:25.167 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a5c08453-3156-3a86-a786-7849f7bcb9c5
2022-06-18 11:25:26.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8117 (http)
2022-06-18 11:25:26.152 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8117"]
2022-06-18 11:25:26.153 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-18 11:25:26.153 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2022-06-18 11:25:26.369 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-18 11:25:26.369 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3655 ms
2022-06-18 11:25:26.477 [main] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:25:26.478 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:25:26.478 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
2022-06-18 11:25:26.478 [main] INFO  com.lckp.jproxy.controller.FormatController - 初始化规则完毕
2022-06-18 11:25:26.883 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-18 11:25:27.233 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-06-18 11:25:27.479 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2022-06-18 11:25:27.576 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8117"]
2022-06-18 11:25:27.639 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8117 (http) with context path ''
2022-06-18 11:25:27.640 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-06-18 11:25:27.673 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-06-18 11:25:27.799 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-06-18 11:25:27.968 [main] INFO  com.lckp.jproxy.Application - Started Application in 7.214 seconds (JVM running for 7.8)
2022-06-18 11:25:38.917 [http-nio-8117-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-18 11:25:38.917 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-18 11:25:38.931 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2022-06-18 11:25:50.059 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2022-06-18 11:25:50.060 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-18 11:26:17.382 [main] INFO  com.lckp.jproxy.Application - The following profiles are active: prod,format,format-custom
2022-06-18 11:26:19.902 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a5c08453-3156-3a86-a786-7849f7bcb9c5
2022-06-18 11:26:20.854 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8117 (http)
2022-06-18 11:26:20.869 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8117"]
2022-06-18 11:26:20.870 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-18 11:26:20.870 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2022-06-18 11:26:21.081 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-18 11:26:21.081 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3616 ms
2022-06-18 11:26:21.186 [main] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:26:21.187 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:26:21.187 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
